airport_name,airport_icao,lat,long,size
Stockholm-Arlanda,ESSA,59.64831,17.93736,3.0
Stockholm-Bromma,ESSB,59.35473,17.94068,1.1
Uppsala,ESCM,59.89721, 17.58907,1.6
Göteborg-Landvetter,ESGG,57.66496, 12.28192,2.0
Ronneby,ESDF,56.26768,15.26549, 1.3
Luleå-Kallax,ESPA,65.54398,22.12005,2.2
Sundsvall,ESNN,62.52821,17.44412,1.2
Örebro,ESOE,59.22478,15.03840,1.7
Halmstad,ESMT,56.69180,12.82039,1.4
Visby,ESSV,57.66322,18.34662,1.8
Kiruna,ESNQ,67.82294,20.33864,1.5
Malmö,ESMS,55.53641,13.37574,2.0
Västerås-Hässlö,ESOW,59.59010,16.63402,1.5
Kalmar,ESMQ,56.68539,16.28763,1.6
Jönköping,ESGJ,57.75795,14.06900,1.3
Östersund-Frösön,ESNZ,63.19397,14.50265,1.5
Såtenäs,ESIB,58.42955,12.71162,1.5
Göteborg-Säve,ESGP,57.77468,11.87021,1.2
Ängelholm,ESTA,56.29195,12.85423,1.3
Stockholm-Skavsta,ESKN,58.78868,16.91213,1.8
Norrköping-Kungsängen,ESSP,58.58589,16.25208,1.3
Karlstad,ESOK,59.44503,13.33766,1.5
Umeå,ESNU,63.79059,20.28492,1.3
Arvidsjaur,ESNX,65.59177,19.27706,1.5
Linköping-Malmen,ESCF,58.40224, 15.52572,2.1
Linköping-SAAB,ESSL,58.40610, 15.68057,1.5
Trollhättan,ESGT,58.31868, 12.34372,1.1
Karlsborg,ESIA,58.51410, 14.50841,1.5
Sälen,ESKS,61.15850, 12.84246,1.0
Kristianstad,ESMK,55.92233, 14.08552,1.3
Växjö,ESMX,56.92899, 14.72793,1.4
Örnsköldsvik,ESNO,63.40900, 18.98876,1.2
Vidsel,ESPE,65.87551, 20.14892,1.4
Borlänge,ESSD,60.42238, 15.51454,1.4
Ljungbyhed,ESTL,56.08426, 13.20105,1.8
Uppsala-Sundbro,ESKC,59.92258, 17.53607,1.0